persilpasifid,nilai,tipehak,luas,tahun,nib,alatukur,nomor,akurasibidang,sample_source,sample_lon,sample_lat,kecamatan_id,kecamatan_nama,kelurahan_id,kelurahan_nama,geometry_hash,dedup_keys,source_key
257E11F80F783184E053131D0B0AC299,,Hak Milik,326,2016,02680,,10143411101481,,SOREANG,107.5154037,-7.0269883,320437,,3204372001,SOREANG,7b9defb6cd857f4d10b671011ba23645,"['nib:02680', 'persilpasifid:257e11f80f783184e053131d0b0ac299', 'nomor:10143411101481', 'geometry:7b9defb6cd857f4d10b671011ba23645']",nib:02680
0D08E4C1525FCA51E063B416140A776A,,Kosong,230,,,,,0.5,SOREANG,107.5149725,-7.0274163,320437,,3204372001,SOREANG,99f2e577bf889106605798cd627e813c,"['persilpasifid:0d08e4c1525fca51e063b416140a776a', 'geometry:99f2e577bf889106605798cd627e813c']",persilpasifid:0d08e4c1525fca51e063b416140a776a
0D08E4C16C3CFDB8E063B516140A7B6D,,Kosong,408,,,,,0.5,SOREANG,107.5156193,-7.0274163,320437,,3204372001,SOREANG,d5920aee4d9d8c7d7d7a3701a048e161,"['persilpasifid:0d08e4c16c3cfdb8e063b516140a7b6d', 'geometry:d5920aee4d9d8c7d7d7a3701a048e161']",persilpasifid:0d08e4c16c3cfdb8e063b516140a7b6d
0D08E4C23C28FDD7E063B516140AABDF,,Kosong,99,,,,,0.5,SOREANG,107.5151881,-7.0274163,320437,,3204372001,SOREANG,27421791b8092318a20462dff4e926c9,"['persilpasifid:0d08e4c23c28fdd7e063b516140aabdf', 'geometry:27421791b8092318a20462dff4e926c9']",persilpasifid:0d08e4c23c28fdd7e063b516140aabdf
5287B57DF6BCC039E053021D0B0A2D4E,,Hak Milik,66,2017,04738,,10143401102846,,SOREANG,107.5154037,-7.0274163,320437,,3204372001,SOREANG,29319e03fa5168c66dc42392a7b8e278,"['nib:04738', 'persilpasifid:5287b57df6bcc039e053021d0b0a2d4e', 'nomor:10143401102846', 'geometry:29319e03fa5168c66dc42392a7b8e278']",nib:04738
8BB8088DC3D61E09E0530C1D140AA1AE,,Hak Milik,335,1999,05350,,10143401100730,,SOREANG,107.5154037,-7.0272023,320437,,3204372001,SOREANG,5cd885a56589f002ab9a066636f36b46,"['nib:05350', 'persilpasifid:8bb8088dc3d61e09e0530c1d140aa1ae', 'nomor:10143401100730', 'geometry:5cd885a56589f002ab9a066636f36b46']",nib:05350
a7ec9294a9a3401ea28275f6fa179769,,Hak Milik,145,1998,02975,,10143401100660,,SOREANG,107.5158349,-7.0274163,320437,,3204372001,SOREANG,d9175104e665b138ad38d54d66f41511,"['nib:02975', 'persilpasifid:a7ec9294a9a3401ea28275f6fa179769', 'nomor:10143401100660', 'geometry:d9175104e665b138ad38d54d66f41511']",nib:02975
72846F5654D25A6CE053031D0B0AA3C3,,Hak Milik,178,2018,02353,Meteran,10143415101031,,SOREANG,107.5160505,-7.0280582,320437,,3204372001,SOREANG,a531a181c0d546b3e6a56b9b7e53268c,"['nib:02353', 'persilpasifid:72846f5654d25a6ce053031d0b0aa3c3', 'nomor:10143415101031', 'geometry:a531a181c0d546b3e6a56b9b7e53268c']",nib:02353
0D08E4C32786FDDCE063B516140ABC71,,Kosong,260,,,,,0.5,SOREANG,107.5156193,-7.0278442,320437,,3204372001,SOREANG,3b170447030766f5e821f8ad90716db2,"['persilpasifid:0d08e4c32786fddce063b516140abc71', 'geometry:3b170447030766f5e821f8ad90716db2']",persilpasifid:0d08e4c32786fddce063b516140abc71
056E173F9F86FA55E053131D0B0ACD52,,Hak Milik,115,2015,,,10143401101555,,SOREANG,107.5149725,-7.0272023,320437,,3204372001,SOREANG,cdcb3eb222b755fd58d98434cd40a314,"['persilpasifid:056e173f9f86fa55e053131d0b0acd52', 'nomor:10143401101555', 'geometry:cdcb3eb222b755fd58d98434cd40a314']",persilpasifid:056e173f9f86fa55e053131d0b0acd52
